city,temperature,humidity,description,datetime
Kyiv,7.07,81,few clouds,2024-11-17 16:21:40
Lviv,6.09,57,broken clouds,2024-11-17 16:21:40
Odessa,9.76,65,broken clouds,2024-11-17 16:21:40
Kharkiv,4.19,77,overcast clouds,2024-11-17 16:21:40
Kyiv,6.51,81,few clouds,2024-11-17 16:40:37
Lviv,3.95,66,broken clouds,2024-11-17 16:40:37
Odessa,9.19,68,broken clouds,2024-11-17 16:40:37
Kharkiv,3.86,78,broken clouds,2024-11-17 16:40:37
Kyiv,6.51,81,few clouds,2024-11-17 16:41:44
Lviv,3.95,66,broken clouds,2024-11-17 16:41:44
Odessa,9.19,68,broken clouds,2024-11-17 16:41:44
Kharkiv,3.86,78,broken clouds,2024-11-17 16:41:44
Kyiv,6.51,82,clear sky,2024-11-17 16:50:46
Lviv,3.95,66,broken clouds,2024-11-17 16:50:46
Odessa,9.19,68,broken clouds,2024-11-17 16:50:46
Kharkiv,3.86,78,broken clouds,2024-11-17 16:50:46
Kyiv,6.51,82,clear sky,2024-11-17 16:56:34
Lviv,3.95,66,broken clouds,2024-11-17 16:56:34
Odessa,9.19,68,broken clouds,2024-11-17 16:56:35
Kharkiv,3.86,78,broken clouds,2024-11-17 16:56:35
Kyiv,6.51,82,clear sky,2024-11-17 17:10:48
Lviv,3.95,66,broken clouds,2024-11-17 17:10:48
Odessa,9.19,68,broken clouds,2024-11-17 17:10:48
Kharkiv,3.86,78,broken clouds,2024-11-17 17:10:48
Kyiv,6.51,82,clear sky,2024-11-17 17:11:48
Lviv,3.95,66,broken clouds,2024-11-17 17:11:48
Odessa,9.19,68,broken clouds,2024-11-17 17:11:48
Kharkiv,3.86,78,broken clouds,2024-11-17 17:11:48
Kyiv,6.51,82,clear sky,2024-11-17 17:12:49
Lviv,3.95,66,broken clouds,2024-11-17 17:12:49
Odessa,9.19,68,broken clouds,2024-11-17 17:12:49
Kharkiv,3.86,78,broken clouds,2024-11-17 17:12:49
Kyiv,6.51,82,clear sky,2024-11-17 17:13:49
Lviv,3.95,66,broken clouds,2024-11-17 17:13:49
Odessa,9.19,68,broken clouds,2024-11-17 17:13:49
Kharkiv,3.86,78,broken clouds,2024-11-17 17:13:49
